"","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso"
"jefe",1,-0.688780600402778,-0.0290006393258497,-0.540111195859513,0.219439581293315,-0.607726828526851,0.169247428903229,0.442358683432548,0.546195369939439,-0.0294408152959136,-0.316766380645583,0.449458362988125,0.190155917361141,-0.198627884813555,0.102647074656571,-0.332425231922069,-0.434549147133796,-0.4453439484548,0.436196043141719
"desemp",-0.688780600402778,1,0.269136600511526,0.651224735063895,-0.480160443173859,0.770384993109001,-0.530311283073015,-0.0855991857266105,-0.606823905613914,-0.314092609779549,0.102025457697826,-0.166358765227816,0.0238698557173537,0.400562500661501,-0.252248289672693,0.203054842781127,0.650145335724372,0.760742469425967,-0.562852579152417
"size",-0.0290006393258497,0.269136600511526,1,0.30094609369132,-0.472388659689928,0.233335049820027,-0.566618918689445,0.295274427292907,0.310544322225201,-0.613896543388543,-0.511091531039973,0.111719947569795,0.227418725894511,0.181161760451011,-0.587255277059885,0.413644293998056,0.361258927016119,0.587176703321826,-0.542916677516091
"tparcial",-0.540111195859513,0.651224735063895,0.30094609369132,1,-0.110370036063833,0.244489816178799,-0.0785852306151721,-0.153247003440017,-0.179675038916422,0.100467005210678,0.0434023843720351,-0.451852287267798,-0.340988349752106,0.00163904568516023,-0.247891428136528,0.0152441235158225,0.647802886178287,0.481982522474346,-0.283440286195385
"multiemp",0.219439581293315,-0.480160443173859,-0.472388659689928,-0.110370036063833,1,-0.543367777495305,0.657905448373659,-0.470219791549746,0.234275619887542,0.831947354720369,0.120664136175685,-0.502216317534855,-0.515401235888393,-0.641099192360871,0.620401764315667,-0.215381777617834,-0.290708983589076,-0.582510810457852,0.831800227811152
"privado",-0.607726828526851,0.770384993109001,0.233335049820027,0.244489816178799,-0.543367777495305,1,-0.804266114019964,-0.0480978148726593,-0.702841643149834,-0.555084222692202,0.0564685719144471,0.0558133124342555,0.376224898722831,0.531060173991146,-0.199592376854026,0.365719903668702,0.435812560617708,0.684381486851576,-0.561294601707503
"publico",0.169247428903229,-0.530311283073015,-0.566618918689445,-0.0785852306151721,0.657905448373659,-0.804266114019964,1,-0.302828600184471,0.26923628962559,0.837895573653504,0.23494985023784,-0.338858987410022,-0.638450452999198,-0.61620280024048,0.358252058941841,-0.366317349350858,-0.32775559911755,-0.655305414443229,0.571272670895211
"cpsl",0.442358683432548,-0.0855991857266105,0.295274427292907,-0.153247003440017,-0.470219791549746,-0.0480978148726593,-0.302828600184471,1,0.0388234718403377,-0.500943275658805,-0.522337784433208,0.802680110328136,0.389197818569246,0.149487239323287,-0.448644900228152,-0.292885664505341,0.131513459982204,0.231023004450209,-0.331098900595137
"cpcl",0.546195369939439,-0.606823905613914,0.310544322225201,-0.179675038916422,0.234275619887542,-0.702841643149834,0.26923628962559,0.0388234718403377,1,0.094031702071069,-0.201123340861759,-0.0201811010567841,-0.0598209771609459,-0.226144111763683,-0.0576254403254904,0.0665299462555124,-0.314046430506884,-0.399405767858017,0.23390579967302
"profytec",-0.0294408152959136,-0.314092609779549,-0.613896543388543,0.100467005210678,0.831947354720369,-0.555084222692202,0.837895573653504,-0.500943275658805,0.094031702071069,1,0.286897301024165,-0.573498507769757,-0.74327064354001,-0.628581560594064,0.548371041456837,-0.297362955638844,-0.180462175457445,-0.545975906626247,0.69456619742732
"oficina",-0.316766380645583,0.102025457697826,-0.511091531039973,0.0434023843720351,0.120664136175685,0.0564685719144471,0.23494985023784,-0.522337784433208,-0.201123340861759,0.286897301024165,1,-0.475025880439163,-0.219503556996332,0.170398147431711,0.477412694387799,-0.11988701115009,0.0127582811115518,-0.341920686717459,0.153682147785426
"manual",0.449458362988125,-0.166358765227816,0.111719947569795,-0.451852287267798,-0.502216317534855,0.0558133124342555,-0.338858987410022,0.802680110328136,-0.0201811010567841,-0.573498507769757,-0.475025880439163,1,0.648944092801246,0.277800029523654,-0.429045418324193,-0.202915970593768,-0.119976116121388,0.150869237946178,-0.337440059122098
"indust",0.190155917361141,0.0238698557173537,0.227418725894511,-0.340988349752106,-0.515401235888393,0.376224898722831,-0.638450452999198,0.389197818569246,-0.0598209771609459,-0.74327064354001,-0.219503556996332,0.648944092801246,1,0.515379064045878,-0.341415950783982,0.168459610448652,-0.079561651216131,0.200298019421716,-0.33186563509202
"comercio",-0.198627884813555,0.400562500661501,0.181161760451011,0.00163904568516023,-0.641099192360871,0.531060173991146,-0.61620280024048,0.149487239323287,-0.226144111763683,-0.628581560594064,0.170398147431711,0.277800029523654,0.515379064045878,1,-0.237813688797772,0.123977653303384,0.0962338067892237,0.363260939969778,-0.523122405163678
"sfinan",0.102647074656571,-0.252248289672693,-0.587255277059885,-0.247891428136528,0.620401764315667,-0.199592376854026,0.358252058941841,-0.448644900228152,-0.0576254403254904,0.548371041456837,0.477412694387799,-0.429045418324193,-0.341415950783982,-0.237813688797772,1,-0.289522313393426,-0.360849709625943,-0.614902986174347,0.71090526326983
"sperson",-0.332425231922069,0.203054842781127,0.413644293998056,0.0152441235158225,-0.215381777617834,0.365719903668702,-0.366317349350858,-0.292885664505341,0.0665299462555124,-0.297362955638844,-0.11988701115009,-0.202915970593768,0.168459610448652,0.123977653303384,-0.289522313393426,1,0.0167359698219144,0.266795283842173,-0.306780081864071
"subemp",-0.434549147133796,0.650145335724372,0.361258927016119,0.647802886178287,-0.290708983589076,0.435812560617708,-0.32775559911755,0.131513459982204,-0.314046430506884,-0.180462175457445,0.0127582811115518,-0.119976116121388,-0.079561651216131,0.0962338067892237,-0.360849709625943,0.0167359698219144,1,0.632218052055202,-0.438122179929878
"precario",-0.4453439484548,0.760742469425967,0.587176703321826,0.481982522474346,-0.582510810457852,0.684381486851576,-0.655305414443229,0.231023004450209,-0.399405767858017,-0.545975906626247,-0.341920686717459,0.150869237946178,0.200298019421716,0.363260939969778,-0.614902986174347,0.266795283842173,0.632218052055202,1,-0.702352395668361
"ingreso",0.436196043141719,-0.562852579152417,-0.542916677516091,-0.283440286195385,0.831800227811152,-0.561294601707503,0.571272670895211,-0.331098900595137,0.23390579967302,0.69456619742732,0.153682147785426,-0.337440059122098,-0.33186563509202,-0.523122405163678,0.71090526326983,-0.306780081864071,-0.438122179929878,-0.702352395668361,1
