"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"89","u10","MM111997",1997,"M","M","1","1","MM11",6.92,27.04,56.9,26.72,2.59,81.03,4.31,4.31,8.62,1.72,0.86,22.41,24.14,22.41,0,42.24,10.34,67.24,1.68,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"90","u26","IH321997",1997,"I","H","3","2","IH32",94.91,3.74,48.5,14.29,8.11,30.86,22.57,8.99,25.22,3.35,13.05,32.8,16.58,21.16,8.29,8.29,3.17,6.53,2.92,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"91","u19","IH111997",1997,"I","H","1","1","IH11",29.55,12.4,39.39,9.2,2.36,67.92,13.68,10.61,7.08,0,1.65,59.67,18.87,14.15,0.47,8.49,6.37,44.34,1.53,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"92","u4","MH211997",1997,"M","H","2","1","MH21",77.28,6.79,39.64,10.22,5.74,53.36,12.89,15.13,12.46,1.4,4.34,50.7,22.55,20.17,2.1,9.1,10.78,17.37,2.62,"1","1","8","9","1","1","1","1","1","1","1","1","8","1","1"
"93","u14","MM221997",1997,"M","M","2","2","MM22",18.08,12.3,38.51,26.84,10.02,58.63,18.83,3.01,12.88,9.59,32.71,12.88,19.76,19.47,7.52,18.75,8.16,14.75,2.84,"1","2","3","3","1","2","1","1","2","2","2","2","3","4","2"
"94","u31","IM211997",1997,"I","M","2","1","IM21",19.48,12.77,72.33,34.12,6.82,65.14,7.94,3.6,17.49,2.61,3.47,15.63,17.12,19.23,0.74,45.66,8.81,46.77,1.32,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"95","u36","IM331997",1997,"I","M","3","3","IM33",33.93,3.57,28.7,51.85,23.15,19.44,49.07,0.93,20.37,75,7.41,2.78,3.7,9.26,4.63,0.93,2.78,0.93,4.36,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"96","u6","MH231997",1997,"M","H","2","3","MH23",79.43,3.25,28.25,9.93,32.45,42.24,24.62,2.8,17.48,50.07,13.15,6.57,13.43,12.73,20.84,1.82,4.48,2.1,7.19,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"97","u11","MM121997",1997,"M","M","1","2","MM12",5.02,21.85,29.6,20.15,3.78,83.25,7.3,1.89,4.66,7.81,32.87,12.34,19.14,29.97,12.22,15.62,9.95,24.94,2.2,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"98","u34","IM311997",1997,"I","M","3","1","IM31",37.26,5.4,80.23,41.43,5.12,50.51,6.88,5.27,29.87,3.07,2.93,16.54,16.84,23.28,0.88,40.56,5.12,28.84,1.23,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"99","u15","MM231997",1997,"M","M","2","3","MM23",21.73,4.18,23.01,34.57,29.66,40.02,38.28,1.53,16.36,62.7,20.94,2.62,6.54,6.54,15.59,1.74,9.49,1.74,5.24,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"100","u5","MH221997",1997,"M","H","2","2","MH22",74.96,5.08,33.58,9.45,11.81,53.86,15.61,8.18,13.42,4.61,16.13,36.35,23.16,19.12,8.29,9.27,5.36,7.95,3.57,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"101","u2","MH121997",1997,"M","H","1","2","MH12",23.82,13.7,23.77,10.06,5.32,74.65,9.39,5.9,6.48,4.32,17.79,43.06,22.36,27.93,4.9,8.73,6.98,17.12,2.45,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"102","u20","IH121997",1997,"I","H","1","2","IH12",21.39,12.71,36.18,8.47,5.67,68.17,12.91,6.58,10.03,3.87,9.87,47.2,21.13,23.27,2.88,8.55,7.15,31.41,1.8,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"103","u24","IH231997",1997,"I","H","2","3","IH23",82.24,2.8,34.13,11.06,29.33,36.06,25.48,5.29,17.79,52.4,10.1,6.73,8.65,12.98,17.31,1.92,1.44,5.77,4.91,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"104","u18","MM331997",1997,"M","M","3","3","MM33",47.28,3.06,27.37,43.51,18.95,30.53,38.95,3.51,17.19,60,18.25,2.46,6.32,8.42,7.37,4.91,3.51,0.35,5.56,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"105","u28","IM111997",1997,"I","M","1","1","IM11",6.47,29.85,63.83,34.75,4.96,80.85,4.26,3.55,7.8,2.13,3.55,17.02,12.77,23.4,1.42,49.65,8.51,87.23,1.12,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"106","u22","IH211997",1997,"I","H","2","1","IH21",77.71,5.2,41.54,9.72,4.3,47.18,21.29,15.36,13.35,0.89,3.19,51.63,16.39,13.35,1.04,8.46,6.38,19.96,2.06,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"107","u23","IH221997",1997,"I","H","2","2","IH22",77.61,4.31,38.41,9.19,11.24,39.9,26.54,8.62,18.26,4.62,11.99,40.13,18.95,17.35,4.57,6.74,5.54,9.47,2.72,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"108","u29","IM121997",1997,"I","M","1","2","IM12",3.95,19.83,48.83,26.3,4.53,76.68,9.84,2.07,8.68,7.25,22.02,9.97,11.92,29.66,7.51,25.78,10.49,41.06,1.49,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"109","u7","MH311998",1998,"M","H","3","1","MH31",86.3,4.65,49.79,16.88,4.32,42.96,12.83,17.02,17.57,1.67,6.97,39.61,18.27,21.06,3.63,14.64,4.6,7.11,3.2,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"110","u30","IM131998",1998,"I","M","1","3","IM13",5.29,20.26,26.52,33.15,11.05,44.2,40.33,3.31,11.05,54.14,24.31,0.55,3.87,13.26,13.81,4.42,12.71,11.6,2.75,"4","7","7","8","2","6","3","6","8","2","2","2","7","4","7"
"111","u29","IM121998",1998,"I","M","1","2","IM12",6.42,20.45,48.86,18.44,5.79,78.73,5.79,3.1,8.34,7.13,22.88,9.83,14.4,31.22,4.85,28.94,10.36,44.41,1.45,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"112","u35","IM321998",1998,"I","M","3","2","IM32",35.81,8.45,58.3,30.63,9.96,39.11,18.82,4.06,27.68,11.81,20.3,13.65,15.87,21.77,3.69,19.56,4.8,15.87,2.11,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"113","u17","MM321998",1998,"M","M","3","2","MM32",41.65,6.64,52.21,34.56,8.82,48.28,15.69,5.88,21.57,12.5,22.06,14.46,18.38,15.69,6.86,25.74,5.39,6.13,3.08,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"114","u21","IH131998",1998,"I","H","1","3","IH13",25,6,31.91,6.38,14.89,64.89,14.89,4.26,11.7,27.66,25.53,11.7,12.77,21.28,11.7,5.32,10.64,13.83,3.19,"1","2","3","3","1","2","3","4","5","2","2","2","3","4","5"
"115","u33","IM231998",1998,"I","M","2","3","IM23",16.81,1.72,18.86,35.09,28.73,27.41,51.75,1.54,12.06,73.9,11.62,1.97,3.07,6.14,7.02,2.19,5.48,0.88,4.73,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"116","u6","MH231998",1998,"M","H","2","3","MH23",76.59,1.79,28.31,5.96,34.6,45.03,21.69,3.15,16.56,48.68,13.08,7.12,12.42,14.4,23.01,1.49,5.13,2.81,7.64,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"117","u36","IM331998",1998,"I","M","3","3","IM33",41.38,2.59,34.51,39.82,20.35,23.01,44.25,1.77,22.12,68.14,7.08,2.65,5.31,14.16,5.31,0.88,5.31,0.88,4.04,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"118","u9","MH331998",1998,"M","H","3","3","MH33",93.53,0.72,27.54,15.58,29.35,35.51,23.19,3.99,17.75,46.74,8.33,2.9,10.87,11.96,21.38,1.81,5.07,1.09,10.67,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"119","u12","MM131998",1998,"M","M","1","3","MM13",13.14,15.49,15.31,30.63,12.76,69.61,21.81,1.39,5.57,37.12,38.28,2.78,9.05,17.17,20.19,3.71,12.76,6.5,3.61,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"120","u31","IM211998",1998,"I","M","2","1","IM21",19.83,12.89,70.7,28.59,9.53,69.42,6.83,2.56,17.64,2.13,2.42,11.81,13.09,21.34,0.14,47.94,10.38,45.52,1.51,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"121","u34","IM311998",1998,"I","M","3","1","IM31",38.75,7.03,74.45,36.47,9.24,54.45,8.57,5.21,25.38,2.35,5.55,14.12,13.95,23.03,1.51,42.52,5.21,32.61,1.44,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"122","u23","IH221998",1998,"I","H","2","2","IH22",78.96,3.6,36.19,5.29,11.08,42.98,25.11,7.74,17.26,4.12,13.08,39.59,17.59,19.49,5.07,6.74,4.73,9.13,3.09,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"123","u15","MM231998",1998,"M","M","2","3","MM23",25.78,3.92,21.94,20.89,31.39,42.59,36.64,1.52,14.35,67.21,18.2,1.63,4.9,8.17,17.85,1.75,6.88,1.87,5.6,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"124","u19","IH111998",1998,"I","H","1","1","IH11",36.67,9.78,36.95,4.93,4.19,67.49,11.08,14.29,6.65,0,1.72,62.07,18.97,14.29,0.74,7.88,8.62,43.35,1.65,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"125","u11","MM121998",1998,"M","M","1","2","MM12",7.34,18.51,33.03,17.75,4.7,81.07,7.05,2.48,6.53,6.66,30.94,13.32,18.54,31.2,7.31,19.58,8.88,27.55,2.14,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"126","u25","IH311998",1998,"I","H","3","1","IH31",91.35,5.47,51.17,13.82,3.36,40.15,16.9,18.11,19.14,0.75,3.64,43.14,14.75,15.41,1.68,10.55,3.64,12.89,2.27,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"127","u20","IH121998",1998,"I","H","1","2","IH12",28.46,10.65,35.3,5.37,5.28,70.61,10.28,8.83,7.92,3.64,11.01,47.68,20.56,24.02,3.46,8.92,7.73,29.85,2.01,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"128","u14","MM221998",1998,"M","M","2","2","MM22",20.86,11.37,38.47,21.67,8.69,58.93,17.13,3.9,13.8,8.6,30.68,13.88,19.24,22,7.06,18.51,8.12,13.47,3,"1","2","3","3","1","2","1","1","2","2","2","2","3","4","2"
"129","u18","MM331998",1998,"M","M","3","3","MM33",46.64,3.53,28.94,38.83,22.34,29.3,37.36,3.66,17.95,69.6,14.29,2.2,5.13,8.42,11.36,2.2,6.23,1.83,5.82,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"130","u8","MH321998",1998,"M","H","3","2","MH32",89.14,3.76,37.48,10.85,9.12,38.78,19.54,8.25,16.35,5.07,16.79,28.36,20.98,19.83,9.41,7.53,5.35,2.6,4.97,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"131","u32","IM221998",1998,"I","M","2","2","IM22",19.24,9.22,48.17,21.27,10.16,52.94,19.21,3.02,18.89,8.89,22.3,13.25,14.68,24.05,4.05,21.51,8.25,19.37,2.1,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"132","u4","MH211998",1998,"M","H","2","1","MH21",80.76,4.85,40.74,5.25,7.25,54.01,13.43,15.59,14.35,0.62,3.55,56.94,20.68,18.21,2.47,7.41,8.8,16.36,2.77,"1","1","8","9","1","1","1","1","1","1","1","1","8","1","1"
"133","u28","IM111998",1998,"I","M","1","1","IM11",7.73,22.27,69.01,25.73,5.26,79.53,3.51,2.92,10.53,1.17,4.68,12.87,11.7,21.05,1.17,50.29,14.04,67.84,1.09,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"134","u3","MH131998",1998,"M","H","1","3","MH13",26.65,13.77,21.18,19.1,11.11,65.63,15.28,4.86,9.72,30.21,32.29,10.07,13.19,22.92,21.53,3.13,6.6,2.78,4.12,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"135","u27","IH331998",1998,"I","H","3","3","IH33",95.19,1.92,34.31,13.73,33.33,34.31,26.47,1.96,13.73,48.04,11.76,0.98,8.82,11.76,15.69,1.96,2.94,2.94,6.23,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"136","u24","IH231998",1998,"I","H","2","3","IH23",81.82,2.27,37.21,6.2,39.53,37.21,24.81,4.26,20.93,46.9,12.79,7.75,6.59,11.63,18.6,4.26,3.88,2.33,5.47,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"137","u13","MM211998",1998,"M","M","2","1","MM21",22.32,13.84,62.31,24.2,14.78,75.37,4.28,3.21,11.56,1.5,4.28,16.27,16.27,16.7,1.93,52.03,10.71,35.97,2.2,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"138","u5","MH221998",1998,"M","H","2","2","MH22",75.46,4.28,31.16,4.22,11.24,53.2,16.08,8.13,13.16,4.97,14.4,35.01,23.09,20.48,6.27,7.95,5.09,6.58,3.94,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"139","u2","MH121998",1998,"M","H","1","2","MH12",25.71,11.44,28.46,6.97,5.56,71.82,8.29,7.35,8.11,3.96,18.47,41.85,22.62,26.2,6.03,7.54,7.45,15.65,2.48,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"140","u22","IH211998",1998,"I","H","2","1","IH21",80.53,5,39.26,4.61,5.19,51.11,18.35,15.39,11.6,0.41,2.14,53.91,16.87,14.32,0.74,6.58,5.51,19.01,2.31,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"141","u1","MH111998",1998,"M","H","1","1","MH11",36.94,14.55,34.5,10.04,3.49,68.12,7.86,15.28,7.86,0.44,3.06,68.12,21.83,19.21,2.18,7.42,5.68,31.88,2.02,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"142","u26","IH321998",1998,"I","H","3","2","IH32",91.1,2.51,42.66,8.53,9.33,35.52,24.8,5.95,21.83,3.57,14.09,35.32,17.66,20.04,6.94,8.93,3.77,4.96,3.22,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"143","u10","MM111998",1998,"M","M","1","1","MM11",5.76,31.65,57.89,28.42,10.53,84.21,6.32,0,8.42,1.05,5.26,18.95,18.95,14.74,1.05,52.63,14.74,76.84,1.9,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"144","u16","MM311998",1998,"M","M","3","1","MM31",38.72,5.39,69.93,39.5,6.58,64.95,4.98,3.38,19.22,1.78,4.45,13.52,15.66,19.4,1.6,48.4,4.27,17.26,2.34,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"145","u27","IH331999",1999,"I","H","3","3","IH33",88.57,2.86,38.24,23.53,29.41,32.35,30.88,4.41,20.59,54.41,8.82,5.88,8.82,8.82,17.65,4.41,4.41,5.88,6.63,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"146","u16","MM311999",1999,"M","M","3","1","MM31",41.68,8.09,70.76,36.21,8.47,65.61,6.81,3.82,17.77,3.32,4.32,14.12,14.78,16.11,0.66,52.33,5.65,20.43,2.32,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"147","u6","MH231999",1999,"M","H","2","3","MH23",79.12,2.21,24.5,7.41,32.79,46.23,22.74,3.02,14.2,47.74,12.94,4.77,11.43,13.69,22.74,1.76,5.15,2.01,7.85,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"148","u1","MH111999",1999,"M","H","1","1","MH11",32.38,17.79,34.63,11.69,4.33,66.23,9.52,15.15,8.66,1.3,4.76,63.64,21.65,21.65,0.43,9.09,11.69,38.96,1.86,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"149","u22","IH211999",1999,"I","H","2","1","IH21",78.68,4.14,41.71,5.27,6.23,50.34,18.5,15.82,13.04,0.96,1.82,56.57,15.24,10.55,0.96,7.57,6.62,20.81,2.26,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"150","u29","IM121999",1999,"I","M","1","2","IM12",5.24,19.5,48.46,21.63,3.74,77.24,8.29,2.76,9.11,6.5,21.79,13.01,13.17,30.57,6.02,27.8,11.22,42.28,1.35,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"151","u33","IM231999",1999,"I","M","2","3","IM23",20.6,2.76,23.26,28.42,31.01,27.91,51.42,1.81,14.21,71.83,12.66,1.81,2.33,7.49,10.59,2.07,6.98,4.65,4.78,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"152","u13","MM211999",1999,"M","M","2","1","MM21",23.61,16.16,60.49,28.17,10.4,74.67,5.86,3.78,12.1,1.32,4.73,13.8,15.5,17.01,1.7,50.85,10.78,38.37,1.95,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"153","u5","MH221999",1999,"M","H","2","2","MH22",75.39,4.75,33.37,5.38,10.93,52.8,15.18,8.5,15.41,5.67,15.3,34.16,20.34,20.57,7.88,8.1,6.18,7.65,4.14,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"154","u2","MH121999",1999,"M","H","1","2","MH12",26.81,13.37,30.69,7.42,5.56,74.2,7.42,7.5,9.02,4.05,18.04,39.63,20.49,29.26,7.17,8.18,7.25,17.37,2.49,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"155","u14","MM221999",1999,"M","M","2","2","MM22",20.38,13.63,38.41,21.11,9.62,61.31,16.89,3.88,11.76,10.59,29.34,12.73,15.99,22.21,8.51,20.97,8.1,15.78,2.89,"1","2","3","3","1","2","1","1","2","2","2","2","3","4","2"
"156","u28","IM111999",1999,"I","M","1","1","IM11",8.47,20.63,70,28,4,80.67,2,6,6.67,2,0.67,12.67,12.67,22,0,53.33,16,80.67,0.89,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"157","u10","MM111999",1999,"M","M","1","1","MM11",8.97,26.21,54.21,29.91,3.74,88.79,0,3.74,6.54,0,4.67,7.48,14.02,25.23,0.93,53.27,5.61,69.16,1.35,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"158","u36","IM331999",1999,"I","M","3","3","IM33",36.7,1.83,27.1,37.38,25.23,24.3,46.73,1.87,14.95,69.16,6.54,0,0.93,10.28,2.8,3.74,3.74,3.74,4.5,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"159","u34","IM311999",1999,"I","M","3","1","IM31",34.7,6.94,75.91,35.18,6.88,51.24,9.18,6.5,27.72,1.34,3.82,15.68,15.3,21.99,0.96,43.21,6.5,24.86,1.54,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"160","u8","MH321999",1999,"M","H","3","2","MH32",89.62,5.07,38.93,10.29,6.9,42.45,16.02,9.38,17.32,5.86,16.02,27.47,19.01,19.92,10.68,10.94,3.65,3.26,4.72,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"161","u26","IH321999",1999,"I","H","3","2","IH32",89.86,5.26,48.56,10.91,5.76,31.07,22.02,9.47,24.28,3.5,12.96,33.95,20.58,21.4,7.2,8.02,5.35,7.2,3.14,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"162","u4","MH211999",1999,"M","H","2","1","MH21",75.78,7.55,41.45,6.63,6.01,57.47,10.17,18.34,10.79,1.08,4.16,58.86,19.41,13.87,2.62,8.32,8.17,19.11,2.74,"1","1","8","9","1","1","1","1","1","1","1","1","8","1","1"
"163","u15","MM231999",1999,"M","M","2","3","MM23",23.23,3.02,23.47,24.34,28.53,41.87,36.32,1.75,15.87,62.8,22.4,0.88,4.28,7.3,17.92,1.56,8.96,1.17,6.27,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"164","u35","IM321999",1999,"I","M","3","2","IM32",34.74,8.12,60.42,28.98,8.13,37.1,16.25,4.24,31.8,9.54,18.37,17.31,16.96,24.38,3.18,21.91,3.89,14.13,2.11,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"165","u20","IH121999",1999,"I","H","1","2","IH12",25.98,11.29,37.87,4.34,4.73,69.63,11.64,8.19,8.09,2.76,8.78,55.03,22.58,21.1,2.56,7.99,8.88,31.66,1.9,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"166","u11","MM121999",1999,"M","M","1","2","MM12",8.32,21.87,30.09,18.13,4.86,83.71,7.23,2.63,4.6,8.41,31.8,11.3,16.82,29.57,8.54,21.02,8.54,28.12,2,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"167","u31","IM211999",1999,"I","M","2","1","IM21",21.06,15.5,73.98,29,11.29,67.71,5.96,5.02,16.46,1.41,2.98,12.23,14.11,19.28,1.25,47.49,9.25,47.34,1.36,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"168","u18","MM331999",1999,"M","M","3","3","MM33",41.32,3.16,23.91,31.79,25.27,38.32,35.6,2.45,13.59,61.96,14.67,2.45,5.43,6.25,10.87,2.45,5.16,1.63,6.41,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"169","u24","IH231999",1999,"I","H","2","3","IH23",84.95,1.46,29.56,7.39,33.99,36.95,28.08,4.93,17.73,51.72,5.91,5.91,9.36,10.34,18.23,0.99,3.94,4.43,5.95,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"170","u9","MH331999",1999,"M","H","3","3","MH33",92.73,1.3,27.11,15.26,30.26,35,25.79,3.42,15.26,47.11,10.53,3.95,13.42,11.05,21.32,1.58,3.42,0.79,10.46,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"171","u32","IM221999",1999,"I","M","2","2","IM22",21.85,10.11,49.05,22.92,9.17,50.43,20.93,4.15,18.69,8.65,24.22,12.11,13.41,24.83,5.02,21.19,10.03,22.75,2.07,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"172","u17","MM321999",1999,"M","M","3","2","MM32",36.63,8.01,51.11,27.96,8.52,49.44,14.44,6.67,19.63,10,23.33,14.81,17.78,18.89,6.85,23.7,8.15,8.52,2.99,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"173","u12","MM131999",1999,"M","M","1","3","MM13",13.68,18.66,19.61,29.95,14.01,66.37,23.29,1.23,7.18,36.78,44.13,1.4,5.6,15.94,22.07,3.15,13.31,8.06,3.08,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"174","u21","IH131999",1999,"I","H","1","3","IH13",14.81,17.28,37.31,23.88,11.94,58.21,14.93,1.49,16.42,32.84,19.4,8.96,2.99,26.87,22.39,4.48,7.46,11.94,2.78,"5","10","4","5","2","3","3","4","5","2","2","2","4","4","5"
"175","u7","MH311999",1999,"M","H","3","1","MH31",88.47,5.71,45.9,15.51,4.79,44.64,14,11.73,21.19,0.88,6.56,38.34,17.78,23.2,2.77,12.74,5.04,10.09,3.07,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"176","u23","IH221999",1999,"I","H","2","2","IH22",80.58,3.03,39.27,4.03,9.88,43.69,23.34,7.8,18.99,3.64,11.25,42.52,17.69,20.29,4.88,7.74,5.2,9.3,3.07,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"177","u3","MH131999",1999,"M","H","1","3","MH13",26.4,13.2,19.85,26.55,10.57,70.62,15.98,3.35,6.44,32.99,37.37,6.7,8.76,19.59,31.19,2.32,8.76,5.67,3.25,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"178","u25","IH311999",1999,"I","H","3","1","IH31",90,6.12,54.4,13.13,3.62,38.99,16.75,17.68,21.41,1.14,3.72,44.47,14.79,16.24,1.14,10.13,5.79,11.89,2.14,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"179","u30","IM131999",1999,"I","M","1","3","IM13",4.97,17.68,26.85,36.91,13.42,46.31,36.24,4.7,10.74,58.39,22.15,2.68,4.03,20.13,8.05,4.03,12.08,9.4,2.75,"4","7","7","8","2","6","3","6","8","2","2","2","7","4","7"
